; 8556; 250,69%
-; 1795; 52,59%
в; 1005; 29,45%
э; 702; 20,57%
не; 471; 13,80%
я; 323; 9,46%
что; 300; 8,79%
и; 281; 8,23%
на; 249; 7,30%
он; 248; 7,27%
п; 203; 5,95%
это; 183; 5,36%
ты; 179; 5,24%
лакки; 175; 5,13%
мы; 155; 4,54%
с; 127; 3,72%
эстрагон; 120; 3,52%
да; 109; 3,19%
молчание; 108; 3,16%
поццо; 108; 3,16%
его; 106; 3,11%
а; 99; 2,90%
мне; 94; 2,75%
так; 91; 2,67%
пауза; 90; 2,64%
как; 87; 2,55%
к; 86; 2,52%
владимир; 85; 2,49%
вы; 85; 2,49%
же; 84; 2,46%
меня; 81; 2,37%
нет; 81; 2,37%
за; 75; 2,20%
но; 74; 2,17%
сударь; 67; 1,96%
у; 62; 1,82%
все; 61; 1,79%
они; 61; 1,79%
смотрит; 58; 1,70%
если; 55; 1,61%
останавливается; 54; 1,58%
снова; 51; 1,49%
м; 51; 1,49%
бы; 49; 1,44%
ему; 49; 1,44%
ну; 48; 1,41%
него; 48; 1,41%
годо; 47; 1,38%
шляпу; 47; 1,38%
почему; 47; 1,38%
ничего; 46; 1,35%
чтобы; 46; 1,35%
может; 46; 1,35%
здесь; 44; 1,29%
их; 43; 1,26%
вот; 43; 1,26%
тебе; 43; 1,26%
о; 42; 1,23%
нам; 39; 1,14%
знаю; 37; 1,08%
то; 36; 1,05%
больше; 36; 1,05%
эстрагону; 35; 1,03%
тогда; 35; 1,03%
кто; 35; 1,03%
еe; 35; 1,03%
от; 35; 1,03%
было; 34; 1,00%
ли; 34; 1,00%
этом; 33; 0,97%
вам; 33; 0,97%
тебя; 32; 0,94%
время; 31; 0,91%
когда; 30; 0,88%
уже; 30; 0,88%
нас; 30; 0,88%
по; 30; 0,88%
очень; 29; 0,85%
теперь; 28; 0,82%
голову; 28; 0,82%
только; 27; 0,79%
владимиру; 27; 0,79%
поднимает; 27; 0,79%
берет; 27; 0,79%
начинает; 26; 0,76%
со; 26; 0,76%
подходит; 26; 0,76%
вчера; 26; 0,76%
отходит; 26; 0,76%
себя; 25; 0,73%
сейчас; 25; 0,73%
один; 25; 0,73%
сказать; 25; 0,73%
дерево; 24; 0,70%
хорошо; 24; 0,70%
есть; 24; 0,70%
где; 23; 0,67%
из; 23; 0,67%
друг; 23; 0,67%
всe; 23; 0,67%
чем; 23; 0,67%
был; 22; 0,64%
были; 22; 0,64%
день; 22; 0,64%
надо; 22; 0,64%
идет; 22; 0,64%
тоже; 21; 0,62%
там; 21; 0,62%
наконец; 21; 0,62%
эстрагона; 21; 0,62%
вперед; 21; 0,62%
для; 20; 0,59%
будем; 20; 0,59%
ах; 20; 0,59%
владимира; 20; 0,59%
ставит; 20; 0,59%
руку; 19; 0,56%
хочешь; 19; 0,56%
или; 19; 0,56%
корзину; 19; 0,56%
веревку; 19; 0,56%
свою; 19; 0,56%
еще; 18; 0,53%
смотрят; 18; 0,53%
этого; 18; 0,53%
делать; 18; 0,53%
давай; 18; 0,53%
могу; 18; 0,53%
лучше; 18; 0,53%
падает; 18; 0,53%
вещи; 18; 0,53%
протягивает; 17; 0,50%
до; 17; 0,50%
сказал; 17; 0,50%
землю; 17; 0,50%
пока; 17; 0,50%
гого; 17; 0,50%
чeм; 17; 0,50%
сюда; 17; 0,50%
ещe; 17; 0,50%
говорил; 16; 0,47%
думает; 16; 0,47%
нужно; 16; 0,47%
ним; 16; 0,47%
дело; 16; 0,47%
дергает; 16; 0,47%
себе; 15; 0,44%
придет; 15; 0,44%
двигается; 15; 0,44%
поворачивается; 15; 0,44%
быть; 15; 0,44%
правда; 15; 0,44%
мальчик; 15; 0,44%
башмак; 14; 0,41%
думать; 14; 0,41%
ночь; 14; 0,41%
немного; 14; 0,41%
говорю; 14; 0,41%
никогда; 14; 0,41%
раз; 14; 0,41%
месте; 14; 0,41%
она; 14; 0,41%
который; 14; 0,41%
чего; 14; 0,41%
можем; 14; 0,41%
оно; 14; 0,41%
диди; 14; 0,41%
хочет; 14; 0,41%
делает; 14; 0,41%
ни; 14; 0,41%
конечно; 14; 0,41%
вас; 14; 0,41%
кости; 14; 0,41%
неизвестно; 14; 0,41%
колеблется; 14; 0,41%
ждем; 14; 0,41%
руки; 13; 0,38%
будет; 13; 0,38%
надевает; 13; 0,38%
ногу; 13; 0,38%
том; 13; 0,38%
ждать; 13; 0,38%
кажется; 13; 0,38%
вечером; 13; 0,38%
пойдем; 13; 0,38%
чемодан; 13; 0,38%
трубку; 13; 0,38%
руками; 12; 0,35%
другой; 12; 0,35%
хватит; 12; 0,35%
башмаки; 12; 0,35%
что-то; 12; 0,35%
наверное; 12; 0,35%
возможно; 12; 0,35%
свои; 12; 0,35%
завтра; 12; 0,35%
скажи; 12; 0,35%
тот; 12; 0,35%
